TotalSF,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,LotArea,KitchenQual_2,BsmtUnfSF,BsmtFinSF1,CentralAir_1,SalePrice
2360,5,1953,2007,1057,7922,1,326,731,1,11.599112335481124
1152,4,1955,1955,1152,6040,0,0,0,0,11.314486721293981
2852,6,1965,1965,1324,8658,0,445,643,1,11.982935344196433
2986,5,1959,1959,1328,16905,0,383,967,1,12.04355959836804
2228,5,1983,1983,884,9180,1,0,747,1,11.87757552297847
2184,5,1975,1980,938,9200,0,167,280,1,11.777218637129327
2600,5,1959,1959,1150,7945,0,465,179,1,11.856522261533737
4080,9,2005,2005,1752,7658,1,1296,456,1,12.675766851909591
4253,7,2003,2003,2149,12822,1,83,1351,1,12.387089184491993
4138,8,2006,2006,1656,11096,1,1632,24,1,12.428019481065613
2188,4,1920,2008,1452,4456,0,736,0,1,11.635151947212842
2296,5,1966,1966,955,7742,0,192,763,1,11.751950239425476
2652,6,1997,1997,1470,13869,0,612,182,1,12.083910661257521
2160,6,1934,1950,1176,6240,0,816,0,1,11.648338835562747
2148,5,1963,1963,816,8472,0,0,104,0,11.608244735642321
4578,9,1981,1987,1842,50271,1,32,1810,1,12.861001210669146
2316,5,1955,1955,1360,7134,0,0,384,1,11.775297421715827
3426,6,1964,1964,1425,10175,0,935,490,1,12.103491596905931
3189,8,1999,2000,1739,2645,1,321,649,1,12.058158312538197
3145,7,2004,2004,1720,11645,1,860,0,1,12.188422799337028
4996,10,2006,2006,2945,13682,1,1410,0,1,12.991755706536901
1912,5,1972,1972,780,7200,0,148,632,1,11.735276702486741
2892,6,2004,2004,1158,13072,1,217,941,1,11.970356641102999
1929,5,1920,1996,1111,7200,0,530,0,0,11.522885696764481
3224,8,2006,2006,1370,6442,1,1346,24,1,12.218500103788143
2766,7,1921,1950,1710,10300,0,576,0,1,11.849404844423074
3736,7,1997,1998,2034,9375,1,318,739,1,12.299112067295642
4468,8,2004,2005,2473,9591,1,1143,0,1,12.666660207428574
4730,7,1970,1989,2207,19900,0,1035,912,1,12.100717685412471
3490,7,2003,2003,1479,10665,1,440,1013,1,12.328294703023394
1714,4,1945,1950,747,4608,0,747,0,1,11.289794413577894
4258,7,1953,1953,2287,15593,0,701,603,1,12.323860125621126
4962,7,1973,1973,2223,13651,0,343,1880,1,12.404927602627597
2050,4,1982,2006,845,7599,0,280,565,1,11.771443882099637
2977,7,1998,1998,1718,10141,0,832,0,1,12.128116509451258
2662,5,1954,2003,1086,10200,0,404,320,1,11.88380602959621
2824,3,1915,1950,1605,5790,0,840,0,0,11.58432477200052
1747,4,1973,1973,988,1596,0,0,462,1,11.418625774449598
2187,4,1956,1956,952,8475,0,724,228,1,11.818577604251555
2197,5,1948,2001,1285,8635,0,295,336,1,11.751950239425476
3536,4,1968,1968,1768,10778,0,1768,0,0,11.824087219587643
2110,5,1910,1981,1230,10440,0,440,0,1,11.608244735642321
3547,6,1968,1968,2142,13000,1,448,448,1,12.173037959397275
2979,6,1998,1998,1337,4500,0,36,1201,1,11.941462360646149
3884,8,2007,2007,1563,10206,1,1530,33,1,12.409017571151187
2591,5,1960,1960,1065,8892,0,1065,0,1,11.748005492256807
2258,7,1995,1996,1474,8530,0,384,0,1,12.034696963475044
4167,8,1991,1992,2417,16059,1,1288,0,1,12.468440756144114
2644,6,2005,2005,1560,11911,1,684,0,1,12.066816325306588
2364,6,2009,2009,1224,3951,1,612,0,1,12.010671928196443
2026,3,1915,1982,1526,8470,0,1013,0,0,11.350418300109132
1980,4,1994,1995,990,8070,0,402,588,1,11.724813914587886
1460,4,1950,1950,1040,7200,0,0,0,1,11.60733523953139
2950,5,1961,1961,1235,8500,0,635,600,1,11.498836682527127
2272,5,1921,2006,964,13360,0,163,713,1,12.004574385508691
4011,6,1910,1998,2291,7200,0,168,1046,0,11.804855999911272
3294,6,1997,1997,1786,9337,1,176,648,1,12.229549885708273
2570,6,1993,1993,1470,9765,0,370,310,1,12.128116509451258
3648,7,1999,1999,1588,10264,1,426,1162,1,12.273735966890268
2352,4,1965,1965,960,10921,0,440,520,1,11.459007676978688
1659,5,1920,1950,835,10625,0,350,108,0,11.326607934898927
2175,4,1959,1959,1225,9320,0,381,569,1,11.767187766223199
3700,6,1977,2001,1610,10603,1,410,1200,1,12.230770136157428
2949,6,1985,1985,1732,9206,1,741,0,1,12.08954444723597
1945,5,1979,1979,1535,7018,0,0,0,1,11.68658461118553
3192,7,2009,2009,1226,10402,1,1226,0,1,12.200562492481511
3098,7,1931,1950,1818,7758,0,816,224,1,12.040614105490253
3693,8,2003,2004,1992,9375,1,1053,0,1,12.429220196836383
1961,4,1885,1995,1047,10800,0,641,0,1,11.51293546492023
1828,5,1948,1950,789,6000,0,516,104,1,11.652696102959753
2310,5,1919,2005,1517,8500,0,793,0,0,11.652696102959753
4234,6,1977,1977,1844,11751,0,1139,705,1,12.154784614286667
3174,6,1954,1972,1855,9525,0,550,444,1,11.827013315851762
2214,7,2000,2000,1430,7750,0,134,250,1,12.100717685412471
4752,7,2007,2007,2696,9965,1,280,984,1,12.85832230788469
4518,6,1953,1953,2259,21000,1,905,35,1,12.28765724080691
3528,6,1945,2002,2320,7259,1,104,774,1,12.466515835145202
2627,6,1999,1999,1458,3230,0,310,419,1,12.07824495582233
2472,5,1962,1962,1092,11616,0,252,170,1,11.842236406331555
2680,5,2006,2007,1125,8536,0,1125,0,1,11.951186847493476
5489,7,1990,1990,3222,12376,1,203,1470,1,12.676079399771027
2574,6,2005,2006,1456,8461,1,728,0,1,12.0075668272517
2466,6,1969,1969,988,21453,0,0,938,1,12.100717685412471
2119,4,1939,1950,1123,6060,0,732,0,1,11.51293546492023
2448,6,1958,1958,1080,9464,0,510,570,1,11.820417517632333
2928,6,1993,1993,1199,7892,1,899,300,1,11.944064817531656
3383,6,1979,1998,1586,17043,0,1362,0,1,12.10625783509458
1040,6,1935,1982,754,6780,0,30,490,0,11.344518647594766
2476,6,1976,1976,958,4928,0,958,120,1,11.759793355371237
1512,5,1930,1950,840,4388,0,556,116,1,11.373674891823535
2461,6,1966,1966,1348,7590,0,148,512,1,11.951186847493476
2811,5,1958,1991,1053,8973,1,413,567,1,11.918397239722838
3568,7,1966,1966,2157,14200,1,479,445,1,12.328294703023394
3436,6,2000,2000,2054,12224,1,297,695,1,12.404927602627597
3014,5,1959,2002,1327,7388,1,658,405,1,11.923384748066601
3034,8,2001,2002,1296,6853,1,262,1005,1,12.301387370778713
3622,5,1968,1993,1721,10335,0,891,570,1,12.100717685412471
3516,7,1970,1970,1682,10400,0,1304,0,1,12.066816325306588
2746,5,1967,1967,1214,10355,0,519,695,1,11.870606902224587
4632,7,1988,1989,1959,11070,0,1907,0,1,12.049424683420915
3516,8,1999,2000,1852,9066,1,336,668,1,12.345838935721968
3162,6,1997,1997,1764,15426,1,107,821,1,12.352339472153524
1728,4,1971,1971,864,10500,0,432,432,1,11.652696102959753
4128,7,2005,2005,1734,11645,1,434,1300,1,12.468440756144114
3015,5,1952,1952,1385,8520,0,403,507,1,12.019749091416921
3568,7,1999,1999,1501,10335,1,811,679,1,12.225880174775122
3960,5,1963,1963,1728,9100,0,396,1332,1,11.736077016252437
3059,6,2004,2006,1709,2522,1,970,0,1,11.775297421715827
1770,5,1931,1993,875,6120,0,506,209,1,11.561725152903833
3353,7,2001,2001,2035,9505,1,884,0,1,12.312686874960354
2160,7,2004,2005,1080,7500,1,400,680,1,11.856522261533737
2480,5,1936,1950,1344,6240,0,896,0,1,11.652696102959753
2378,5,1975,1975,969,10356,0,253,716,1,11.711784520403112
4286,8,2007,2008,1710,13891,1,310,1400,1,12.827731880206521
3313,6,1971,1971,1993,14803,0,409,416,1,12.154784614286667
3418,6,1960,1975,1252,13500,0,93,429,1,12.367345048436391
2712,6,1923,1950,1200,11340,0,1200,0,1,11.736077016252437
1668,6,1924,1950,1096,9600,0,572,0,0,11.277215789596893
1665,5,1950,1950,1040,7200,0,0,0,1,11.603688960617083
3422,8,2009,2010,1968,12003,1,774,0,1,12.504327379899443
3616,7,2004,2005,1947,12552,1,769,222,1,12.448630513463613
4430,7,2005,2006,2462,19378,1,1335,57,1,12.676079399771027
2980,6,1984,1984,1232,11120,0,572,660,1,11.998439434579149
4966,9,2003,2004,2668,13688,1,556,1016,1,12.929993908996359
3614,7,2005,2005,1541,12182,1,340,1201,1,12.301387370778713
1764,4,1956,1956,882,5500,0,882,0,1,11.544433821905134
2981,6,1926,2004,1616,5400,1,779,370,1,11.931642378754141
1999,5,1940,1999,1355,10106,0,112,351,1,11.755879486687116
3787,5,1955,1993,1867,10708,0,470,379,1,12.154784614286667
4532,8,2007,2007,2161,10562,1,294,1288,1,12.693501691489768
3000,7,2004,2004,1720,8244,1,840,0,1,12.119975396053194
3904,8,1981,1981,1707,16669,0,1686,0,1,12.337105293891872
2234,5,1941,1950,1382,12358,0,360,360,1,11.763691965388299
3264,6,1960,1960,1656,31770,0,441,639,1,12.278397958261774
3335,7,1987,1987,1767,5306,1,354,495,1,12.384223015005313
3228,6,1961,1961,1362,10197,0,700,288,1,12.001511614739405
3873,6,1986,1986,1651,12416,0,0,1398,1,12.122696471358964
3936,6,1950,2001,2158,12615,1,725,477,1,12.400820837540556
3732,6,1988,1989,2060,10029,0,320,831,1,12.259618151783465
3423,5,1958,1958,1920,13650,1,554,57,1,12.058158312538197
5616,9,2008,2009,2234,17423,1,312,1904,1,13.126032637428713
2416,5,1923,2006,968,8520,0,968,0,1,11.51293546492023
2721,6,2000,2000,1525,2117,1,320,436,1,12.083910661257521
2811,7,1920,1950,1802,7588,0,441,352,1,12.206577518060588
1592,5,1957,2006,1340,9060,0,0,0,1,11.695255355062795
3928,7,2003,2003,2082,11426,1,1362,0,1,12.206077645517674
2332,5,1908,1991,1252,7438,0,504,0,1,11.751950239425476
4983,10,1892,1993,3608,22950,1,1107,0,1,13.07107218827772
2902,7,1990,1991,1217,9947,1,577,611,1,12.06105265381003
2352,5,1916,1987,1656,10410,0,660,0,1,11.813037464800539
2838,5,1979,1979,1224,7018,0,0,1086,1,11.940399914116648
3868,8,2001,2002,1593,4923,1,440,1153,1,12.563750586299374
4020,8,1932,1994,2727,10570,1,556,297,1,12.660331092405906
2688,7,1972,2004,1479,7472,1,99,626,1,12.122696471358964
3528,7,1999,1999,1431,9017,1,871,560,1,12.165255859329688
3059,7,2004,2004,1709,2522,1,970,0,1,11.775297421715827
2080,5,1972,1972,864,7180,0,474,390,1,11.751950239425476
2751,6,1976,1976,1456,2280,0,289,566,1,11.908346971208951
4238,7,2007,2007,1726,9416,1,600,1126,1,12.650351332641707
4875,8,1918,1990,3112,25419,1,140,1036,1,12.367345048436391
2613,6,1912,1950,2229,5520,0,755,0,1,11.552155793461898
4282,8,2004,2005,1713,9591,1,625,1088,1,12.524166311833152
2682,4,2003,2004,1121,8546,0,1121,0,1,11.849404844423074
2948,6,1977,1977,1279,10125,0,276,641,1,12.052344376474922
2325,6,1924,1950,1310,7000,0,0,617,1,11.626263078808801
2116,6,2004,2004,848,4438,1,186,662,1,11.91170829631447
2244,5,1947,1950,1284,3500,0,408,312,1,11.608244735642321
3366,7,1990,1990,1442,11851,0,1424,0,1,12.103491596905931
3185,5,1962,1962,1696,13673,0,1140,0,1,11.87688084212164
2512,4,1960,1960,1100,12493,0,375,419,1,11.856522261533737
3673,7,1988,1989,2062,14364,0,92,1065,1,12.531776395271262
2688,6,1964,1964,1092,8250,0,305,787,1,11.884495917930655
1728,5,1925,1950,864,5604,0,396,468,0,11.49273296168228
2884,6,2009,2009,1212,10420,1,1176,36,1,12.133507329024972
3396,7,2009,2009,1852,8640,1,78,822,1,12.439875187430008
2556,5,1995,1995,990,13568,0,274,716,1,11.957617696467539
2380,6,1977,1977,1392,10900,0,311,378,1,11.993813394724253
2753,5,1957,1996,1236,10011,1,710,360,1,11.808955099378537
3356,7,2004,2004,1436,8450,1,490,946,1,12.25486757159303
2224,4,1925,1950,1328,9906,0,686,0,0,11.580593459194764
3183,7,1939,2006,1954,15660,1,457,341,1,12.649157827477366
2934,7,2005,2006,1248,3010,1,1232,16,1,12.027191164883384
3671,7,2006,2006,1498,8990,1,1498,0,1,12.230282214644559
3667,6,2002,2002,2267,8068,1,1010,0,1,12.206077645517674
2699,6,1975,1975,1552,11475,0,163,550,1,12.100161978566867
2304,4,1971,1971,864,10500,0,160,524,1,11.48247656671073
5752,10,2003,2003,2392,13472,1,2336,56,1,12.864242696187505
2212,5,1971,1971,1302,1680,0,630,0,1,11.626263078808801
4444,7,1995,1995,2520,9950,1,638,565,1,12.577639650232573
1750,6,1970,1970,987,1869,0,162,321,1,11.571203807011969
2160,5,1967,1967,912,8521,0,70,842,1,11.736077016252437
3358,7,2005,2006,1555,3182,1,1357,16,1,12.167856627501678
2700,6,1959,1959,1194,8760,0,1194,0,1,11.904974309480183
5066,8,1995,1996,2794,15138,1,773,689,1,12.90669432231532
1758,6,1972,1972,987,1680,0,483,0,1,11.456365695436427
2096,5,1976,1976,894,10650,0,0,182,1,11.761354623750297
3260,6,2002,2002,1960,7851,1,235,625,1,12.285350445351659
1734,6,1971,1971,987,1680,0,125,358,1,11.402005077384885
3322,7,2004,2004,1414,8773,1,1390,24,1,12.130815551850676
3197,7,1993,2003,1744,9453,1,594,402,1,12.178192583415596
4206,8,2007,2007,1694,12030,1,1694,0,1,12.669809806411457
2442,6,1945,1950,1487,8741,0,641,94,1,11.635151947212842
3882,8,2008,2008,1566,9000,1,488,1078,1,12.47801017053037
1552,5,1945,1997,866,3880,1,357,329,1,11.612779849672751
2332,5,1900,1950,1440,5000,0,540,0,0,11.277215789596893
2131,6,1980,1980,1217,10762,0,626,0,1,11.695255355062795
3521,7,1994,2002,2110,8880,1,253,695,1,12.230770136157428
4321,7,1988,1988,1872,10400,0,916,929,1,12.394628892852941
3388,6,1910,1950,1928,9142,0,1020,0,0,11.827743504053695
3193,6,1954,1954,1375,11310,0,1367,0,1,11.849404844423074
3008,7,2003,2003,1668,11317,1,840,0,1,12.100717685412471
3977,6,1958,2006,2144,159000,1,747,697,1,12.531776395271262
2034,3,1940,1966,1306,5350,0,728,0,1,11.245059091624615
3736,8,2006,2007,1625,4750,1,0,1573,1,12.367345048436391
2958,6,2004,2004,1640,8366,1,798,0,1,12.06105265381003
2913,6,1964,1991,1302,9350,1,452,270,1,11.970356641102999
2922,5,1957,1957,1314,8400,0,392,922,1,11.884495917930655
3695,7,1999,1999,2291,8738,1,975,0,1,12.345838935721968
3265,6,2003,2003,1728,8791,1,361,503,1,12.242891437918386
3868,7,2006,2006,1604,8814,1,270,1334,1,12.301387370778713
3319,7,2001,2001,1792,12435,1,602,361,1,12.352339472153524
1190,5,1956,1956,882,12702,0,0,0,1,11.48247656671073
3628,6,1962,1962,1382,19296,0,0,672,1,12.07824495582233
4924,8,2007,2007,2574,9588,1,1482,0,1,12.52815976788113
2210,6,1977,1995,1212,8471,0,0,506,1,11.92504173829169
2336,5,1929,2001,1316,5500,0,0,234,1,11.775297421715827
1948,5,1925,2004,764,5232,0,680,0,0,11.19822841866684
3420,6,1981,1981,1422,12090,1,606,588,1,12.075400019877522
2726,6,1997,1997,1511,11207,0,88,714,1,12.128116509451258
2732,5,1939,1997,2192,8400,1,342,378,1,12.097936057925594
2442,5,1940,1955,778,6900,0,212,403,1,11.699413330633599
2760,6,1976,1976,1113,7917,0,392,751,1,11.904974309480183
4087,8,2006,2006,1939,10728,1,1095,0,1,12.491255347155265
3187,7,1954,2005,1363,39104,0,96,226,1,12.394628892852941
4093,8,1999,2007,2270,11764,1,628,524,1,12.577639650232573
3210,6,1958,1988,1632,9600,0,0,620,1,11.842236406331555
1896,5,1982,1982,816,8314,0,270,546,1,11.732069026983156
3172,7,1925,2007,1548,7264,1,952,0,0,12.230770136157428
3693,7,2003,2003,1560,9196,1,1560,0,1,12.211065162153215
2128,4,1951,1951,864,19138,0,744,120,1,11.856522261533737
4974,9,2006,2007,2121,14450,1,2121,0,1,12.936754021718041
3687,7,1977,1977,2022,10005,0,768,392,1,12.165255859329688
3364,7,1989,1989,1982,11287,1,386,421,1,12.339295865674435
3096,6,2006,2006,1262,7200,1,357,905,1,12.128116509451258
3254,7,2007,2008,1314,5063,1,410,904,1,12.242891437918386
3834,8,2008,2009,1468,9612,1,1468,0,1,12.407383590534293
3679,6,1992,1992,1575,8012,1,1145,430,1,12.09626335986454
2403,7,2006,2007,1250,4251,1,625,0,1,12.011886987792716
3086,6,1962,1981,1734,9786,1,312,600,1,11.976665770490767
1716,4,1971,1971,858,8125,0,244,614,1,11.385103457032141
2062,5,1967,1967,900,9819,0,432,450,1,11.711784520403112
2478,6,1915,2003,1396,8730,0,698,0,1,11.941950837487406
3683,8,2006,2006,1919,15611,1,1079,0,1,12.359784657728284
2496,5,1912,2000,1716,5687,0,570,210,0,11.819681958463892
2765,5,1949,2008,1716,11409,0,476,292,1,11.782960235741939
3597,7,1977,1994,2263,16659,1,0,795,1,12.367345048436391
3478,6,1953,1953,1644,9600,0,131,1285,1,12.025755079404917
2594,6,1984,1984,1003,7937,0,184,819,1,11.86710429621008
2750,5,1950,1950,1558,13710,0,490,420,1,11.931642378754141
3501,7,1997,1998,1950,7399,1,326,649,1,12.384223015005313
2984,6,1968,1968,1743,11700,0,143,384,1,12.07254696717504
2544,6,1950,2004,1152,14000,1,1092,0,1,11.973516181427835
2876,5,1953,1953,1336,15750,0,324,841,1,11.964007453736912
4163,8,1998,1999,2452,16226,1,747,281,1,12.495007682693725
3925,7,2001,2002,1541,13704,1,1541,0,1,12.230770136157428
2340,5,1972,1972,894,9800,0,0,894,1,11.917730355182513
5833,7,1880,2002,3493,18386,1,1470,0,1,12.59473402514672
4888,8,2004,2005,2000,10386,1,536,1464,1,12.631016799175821
3689,7,1990,1991,2243,13474,1,0,700,1,12.323860125621126
1725,6,1920,1950,1406,7920,0,319,0,1,11.402005077384885
2261,4,1940,1950,861,12342,0,599,262,1,11.320565693461432
4548,9,2003,2004,1944,12378,1,622,1274,1,12.793862088206213
2618,6,1993,1994,1501,7685,1,179,518,1,12.017336559562407
2184,6,1948,2002,972,8000,0,292,680,1,11.790564777297387
2321,5,1939,1950,1118,7800,0,286,507,1,11.694421681264394
4685,7,1965,1965,2036,215245,0,80,1236,1,12.834683971615659
2915,7,1925,1990,1641,9600,1,712,16,1,12.08954444723597
2580,7,2004,2005,1432,7795,1,291,425,1,12.146858590895919
3682,7,1980,1980,2353,13005,1,153,692,1,12.468440756144114
4072,8,2006,2006,1959,9000,1,1088,0,1,12.506180941677357
4649,7,1993,1993,2646,9900,1,360,987,1,12.468440756144114
3432,7,1980,1980,1472,14115,0,336,1036,1,12.141539457711714
4685,9,2006,2006,2596,16259,1,1249,0,1,12.74444728628135
4476,8,2004,2004,2468,12099,1,166,970,1,12.777055016970678
4808,7,1986,1987,2730,10380,1,0,28,1,12.614868865984631
2545,3,1955,2005,1163,5820,0,906,256,1,11.745433036677353
4252,7,1967,2007,2978,11275,1,710,0,1,12.396697137361691
1883,5,1941,1950,803,5000,0,604,116,0,11.373674891823535
3911,8,1993,1993,1719,10846,1,100,1619,1,12.688501881189456
3058,6,1960,1960,1383,11600,0,818,565,1,11.886218559372042
3419,6,1916,1994,2134,11888,1,844,0,0,12.276069679344003
1977,5,1920,1950,1192,6402,0,596,0,0,11.264476926102367
3808,5,1964,1964,1728,10624,0,1424,40,1,11.686887175419702
2420,5,1958,1992,1056,8176,0,210,846,1,11.842236406331555
5715,8,2003,2004,1629,10655,1,1603,1124,1,12.556733038263905
3200,7,2004,2004,1358,8198,1,638,720,1,12.240478903153711
3053,6,1998,1998,1638,9042,0,115,828,1,12.165255859329688
3814,5,1965,1965,1786,164660,0,103,1249,1,12.34126328584159
4520,9,2005,2006,1922,14157,1,673,1249,1,12.841132451487937
3604,7,2002,2003,1536,9135,1,726,810,1,12.273735966890268
3269,7,1984,1998,1621,14145,1,995,213,1,12.218500103788143
2727,6,1958,1998,1215,12400,0,630,585,1,11.951186847493476
3306,8,2002,2002,1908,14191,1,967,0,1,12.220473454337986
1856,4,1950,1950,841,8400,0,721,0,1,11.314486721293981
1440,3,1949,1950,1040,8544,0,0,0,0,11.37940550085183
3932,9,2005,2005,1684,8849,1,1656,28,1,12.491255347155265
1984,5,1976,1976,1112,2592,0,175,129,1,11.350418300109132
2861,6,1939,1950,1577,6435,0,972,0,1,11.850832386224807
2217,6,1960,1998,958,12772,0,460,498,1,11.928347504569842
3454,6,1960,1960,1478,17600,0,208,1270,1,11.967187086434018
2864,7,2003,2004,1626,2448,1,191,573,1,11.944714374881176
5282,9,2005,2006,2728,20431,1,438,1410,1,12.988043102265232
4355,9,2007,2007,1869,7820,1,1869,0,1,12.670001611311875
3351,7,1986,1986,1453,5271,1,371,1082,1,12.154784614286667
1927,5,1941,1950,1111,9084,0,0,236,0,11.461642696843066
1828,6,1928,2003,720,8520,0,624,0,1,11.570259974415547
2775,6,1940,2000,1595,8400,0,552,388,1,11.849404844423074
2921,6,1995,1995,1200,11249,1,322,334,1,12.086731521684555
2725,6,1992,1992,1167,9248,1,598,560,1,12.06105265381003
2812,5,1976,1976,1142,4224,0,268,874,1,11.80560254159177
2702,5,1958,1958,1352,6930,1,468,300,1,11.775297421715827
3602,8,1998,1998,1924,12011,1,130,956,1,12.54254845357358
2270,6,1978,1978,912,7540,0,115,773,1,11.957617696467539
2628,5,1940,1982,1505,9144,0,484,399,1,11.884495917930655
2594,7,2003,2003,1922,7301,1,0,0,1,12.198549416880068
1734,6,1972,2007,987,1680,1,321,162,1,11.678448377988165
2936,6,1976,1976,1574,18800,0,84,712,1,12.154784614286667
2484,5,1920,1997,1344,10690,0,216,456,1,11.898194668458823
3302,6,1963,1963,1394,9500,0,785,609,1,11.976665770490767
2826,6,1962,1962,1431,9150,0,728,371,1,12.013706813470414
2780,5,1954,1954,1268,7800,0,728,540,1,11.790564777297387
2926,5,1959,2006,1287,9830,1,733,72,1,11.995357787034976
3077,6,2000,2000,1664,8121,0,953,0,1,12.057578437658945
2268,4,1959,1959,1588,17120,0,0,0,1,11.808821212646512
1760,6,1984,1984,752,7175,0,0,623,1,11.736077016252437
2197,5,1953,1953,1319,10634,0,0,428,1,11.719947764402807
3209,7,2003,2004,1928,8200,1,847,0,1,12.299112067295642
1587,1,1922,1950,904,10020,0,333,350,0,11.0186455364637
2360,5,1996,1996,914,8846,0,572,298,1,11.904974309480183
4656,8,2004,2005,2466,11143,1,1580,0,1,12.73670383776449
4546,9,2010,2010,1856,11394,1,411,1445,1,12.885204569609956
3245,6,2000,2000,1800,8123,0,982,0,1,12.095146671399466
3025,5,1924,1950,1691,5000,1,808,218,1,11.751950239425476
3166,7,2006,2006,1301,7200,1,1293,0,1,12.142871895843887
3375,7,2006,2006,1797,9245,1,939,0,1,12.271396795480596
1928,6,1928,1950,784,9000,0,784,0,0,11.23850177707664
4034,6,1992,1992,1953,53107,1,595,985,1,12.388398368982115
2955,8,2004,2005,1269,3182,1,1232,24,1,12.165255859329688
1842,5,1910,1996,1184,8410,0,658,0,1,11.302216779257382
2518,6,1976,1976,1125,7200,0,410,631,1,11.736077016252437
3524,7,1999,2000,1479,9382,1,1468,0,1,12.160033942617156
4860,10,2007,2008,2332,12474,1,402,1280,1,12.962196972666593
2612,5,1900,1950,1367,8405,0,229,241,1,11.686887175419702
3325,6,2001,2002,1961,12209,1,114,690,1,12.278397958261774
1176,5,1959,1959,882,8339,0,0,0,1,11.575909653758895
1576,4,1941,1950,788,7446,0,522,266,1,11.51293546492023
2009,5,1940,1950,1034,10134,0,735,0,1,11.599112335481124
2884,5,1956,1956,1144,9571,0,405,739,1,11.767575435251748
2388,5,1972,1972,894,7200,0,117,777,1,11.719947764402807
2940,5,1962,1962,1812,7590,0,324,540,1,12.040614105490253
2376,5,1920,1950,1077,8967,0,961,0,1,11.112462823634855
3080,7,2006,2007,1550,8125,1,280,812,1,12.392556361841777
3048,8,1996,1996,1288,14963,1,474,786,1,12.411056299528171
3020,7,2005,2005,1310,8767,1,1286,24,1,12.013646205940514
1584,5,1940,1997,672,10200,0,672,0,1,11.58989576532275
3824,8,1998,1998,2263,12090,1,1141,0,1,12.460718739865236
2751,6,1995,1996,1572,10364,0,806,0,1,12.031725210748633
3391,4,1976,1993,1620,9991,0,165,1116,1,11.918397239722838
2470,6,1936,1950,1639,10480,0,1064,0,1,11.652696102959753
2828,6,1915,1976,1680,15576,0,840,0,1,12.083910661257521
4182,7,2006,2006,2172,14154,1,1063,0,1,12.54254845357358
3948,8,2007,2008,2078,10800,1,245,789,1,12.73596827534975
2902,5,1958,1958,1276,9571,0,1276,0,1,11.002116507732017
2684,5,1955,1955,1056,34650,0,0,1056,0,11.884495917930655
3432,7,2009,2009,1478,4403,1,892,578,1,12.310437165348775
2396,5,1927,1950,1028,8960,0,1008,0,1,11.652696102959753
3855,7,1993,1993,2097,11228,1,499,50,1,12.337105293891872
3076,7,2007,2007,1340,8899,1,1316,24,1,12.106997888588934
2512,6,1978,1978,1400,7844,0,463,209,1,11.915058360753719
